project,scientific.name,spp,tree,tree.no,spp1,dbh.in,azimuth,dist.ft,ht.ft
Rural,Liriodendron tulipifera,TP,4,3,TP,17.1,86,12,104.8
Rural,Liriodendron tulipifera,TP,4,4,AE,21.4,105.3,11.5,101.1
Rural,Liriodendron tulipifera,TP,4,5,SM,4.5,108.7,15.8,
Rural,Liriodendron tulipifera,TP,5,1,TP,26,,,110.3
Rural,Liriodendron tulipifera,TP,5,2,AE,4,133.8,4,
Rural,Liriodendron tulipifera,TP,5,3,TP,4.9,104.3,21.2,40.3
Rural,Liriodendron tulipifera,TP,5,4,TP,28.3,121.9,22.9,
Rural,Liriodendron tulipifera,TP,7,1,TP,1.8,,,18.8
Rural,Liriodendron tulipifera,TP,7,2,SM,10.7,106,20.3,69.9
Rural,Liriodendron tulipifera,TP,7,3,WA,18.9,140,12.7,104.4
Rural,Liriodendron tulipifera,TP,7,4,SM,12.5,157,22,
Rural,Liriodendron tulipifera,TP,7,5,TP,5.6,230,16.4,
Rural,Liriodendron tulipifera,TP,8,1,TP,6.5,,,56
Rural,Liriodendron tulipifera,TP,8,2,TP,6.3,352,22.7,52.8
Rural,Liriodendron tulipifera,TP,8,3,AE,17.9,99,19.5,111.9
Rural,Liriodendron tulipifera,TP,8,4,SM,12,149,22.9,
Rural,Liriodendron tulipifera,TP,8,5,SM,4.6,179,18.6,
Rural,Liriodendron tulipifera,TP,8,6,SM,10.7,251,23.6,
Rural,Liriodendron tulipifera,TP,9,1,TP,29.4,,,118.2
Rural,Liriodendron tulipifera,TP,9,2,TP,25.5,141.8,18.8,101.7
Rural,Liriodendron tulipifera,TP,9,3,TP,24.2,218.4,14,115.4
Rural,Liriodendron tulipifera,TP,9,4,SM,4.4,258.5,16.9,
Rural,Liriodendron tulipifera,TP,9,5,TP,20.9,287.1,12.3,
Rural,Liriodendron tulipifera,TP,10,1,TP,19.4,,,104.2
Rural,Liriodendron tulipifera,TP,10,2,TP,19.8,140,14.5,
Rural,Liriodendron tulipifera,TP,10,3,BH,4.4,193,21.1,
Rural,Liriodendron tulipifera,TP,10,4,HB,4.2,238,22.7,
Rural,Liriodendron tulipifera,TP,10,5,SM,13.2,255,20.6,40
Rural,Liriodendron tulipifera,TP,10,6,TP,22.5,268,15.5,107.3
Rural,Liriodendron tulipifera,TP,11,1,TP,22.5,,,107.3
Rural,Liriodendron tulipifera,TP,11,2,TP,19.4,97,15.5,104.2
Rural,Liriodendron tulipifera,TP,11,3,HB,4.2,199,12.4,
Rural,Liriodendron tulipifera,TP,11,4,SM,13.2,248,4.5,40
Rural,Liriodendron tulipifera,TP,12,1,TP,24.7,,,104.5
Rural,Liriodendron tulipifera,TP,12,2,TP,24.3,12,15.9,113
Rural,Liriodendron tulipifera,TP,12,3,TP,4.8,233,1.7,
Rural,Liriodendron tulipifera,TP,13,1,TP,4.7,,,45.5
Rural,Liriodendron tulipifera,TP,13,2,AE,4.5,12,7.4,37.4
Rural,Liriodendron tulipifera,TP,13,3,TP,7.4,58,9.6,
Rural,Liriodendron tulipifera,TP,13,4,TP,7.5,108,22.5,52.1
Rural,Liriodendron tulipifera,TP,13,5,TP,8.2,156,6.4,
Rural,Liriodendron tulipifera,TP,13,6,HB,7.4,177,20.5,
Rural,Liriodendron tulipifera,TP,13,7,TP,9.3,234,18.7,54.1
Rural,Liriodendron tulipifera,TP,13,8,TP,4.1,240,17.5,
Rural,Liriodendron tulipifera,TP,14,1,TP,9.3,,,54.1
Rural,Liriodendron tulipifera,TP,14,2,TP,14.6,355,15,69
Rural,Liriodendron tulipifera,TP,14,3,TP,4.2,24,3.2,
Rural,Liriodendron tulipifera,TP,14,4,TP,7.8,123,18.7,45.5
Rural,Liriodendron tulipifera,TP,14,5,TP,8.2,135,22.9,
Rural,Liriodendron tulipifera,TP,14,6,AE,4.5,106,19.1,37.4
Rural,Liriodendron tulipifera,TP,14,7,TP,6.9,106,23.9,
Rural,Liriodendron tulipifera,TP,14,8,BH,5.7,180,18.1,36.6
Rural,Liriodendron tulipifera,TP,14,9,HB,4.2,208,13.7,
Rural,Liriodendron tulipifera,TP,14,10,HB,5.2,209,14.7,
Rural,Liriodendron tulipifera,TP,14,11,BA,5,260,13,31.4
Rural,Liriodendron tulipifera,TP,15,1,TP,14.6,,,69
Rural,Liriodendron tulipifera,TP,15,2,AE,4.5,122,21.1,37.4
Rural,Liriodendron tulipifera,TP,15,3,TP,4.2,161,12.4,
Rural,Liriodendron tulipifera,TP,15,4,TP,9.3,192,14.3,54.1
Rural,Liriodendron tulipifera,TP,15,5,BA,5,230,10.3,31.4
Rural,Liriodendron tulipifera,TP,15,6,BC,6,270,18.3,
Rural,Liriodendron tulipifera,TP,16,1,TP,3.8,,,30.3
Rural,Liriodendron tulipifera,TP,16,2,SM,11.8,350,23.6,74.3
Rural,Liriodendron tulipifera,TP,16,3,SM,14.6,332,12.8,
Rural,Liriodendron tulipifera,TP,16,4,SM,13.7,322,20.8,
Rural,Liriodendron tulipifera,TP,16,5,SM,10.1,292,17.6,
Rural,Liriodendron tulipifera,TP,16,6,SM,14.3,206,22,85
Rural,Liriodendron tulipifera,TP,17,1,TP,31.7,,,114
Rural,Liriodendron tulipifera,TP,17,2,AE,19.8,71,22,81
Rural,Liriodendron tulipifera,TP,17,3,TP,4.4,348,5.5,32.1
Rural,Liriodendron tulipifera,TP,17,4,TP,5.7,260,19.4,
Rural,Liriodendron tulipifera,TP,17,5,HB,5.5,215,19.6,
Urban,Pinus nigra,UP,1,1,UP,21.6,,,46.3
Urban,Pinus nigra,UP,1,2,UP,22.2,263.9,33.7,
Urban,Pinus nigra,UP,1,3,AP,6.5,168.3,33.8,17.9
Urban,Pinus nigra,UP,2,1,UP,14.8,,,38.1
Urban,Pinus nigra,UP,2,2,UP,18.3,95.7,26.5,44
Urban,Pinus nigra,UP,2,3,UP,15.6,251,16.9,
Urban,Pinus nigra,UP,3,1,UP,21.1,,,54.1
Urban,Pinus nigra,UP,3,2,UP,16.2,176.6,19.1,52.1
Urban,Pinus nigra,UP,3,3,UP,23.9,18,21.6,
Rural,Thuja occidentalis,WC,1,1,WC,6.1,,,38.4
Rural,Thuja occidentalis,WC,1,2,EH,19.2,359.4,19.1,76.5
Rural,Thuja occidentalis,WC,1,3,WC,13.1,97.3,22,
Rural,Thuja occidentalis,WC,1,4,EH,7.2,116.3,19.5,
Rural,Thuja occidentalis,WC,1,5,WC,6.3,154,2.9,37.8
Rural,Thuja occidentalis,WC,1,6,EH,8.3,188.7,4,
Rural,Thuja occidentalis,WC,1,7,WC,9.9,201.4,4.3,
Rural,Thuja occidentalis,WC,1,8,WC,9.1,227.7,21,37
Rural,Thuja occidentalis,WC,1,9,WC,8.7,229.3,23.4,
Rural,Thuja occidentalis,WC,1,10,RM,12.4,246.7,13.2,
Rural,Thuja occidentalis,WC,1,11,WC,5,254.2,15.1,27.7
Rural,Thuja occidentalis,WC,1,12,WC,11,272.8,21.6,
Rural,Thuja occidentalis,WC,1,13,WC,7.8,281.9,16.7,
Rural,Thuja occidentalis,WC,1,14,EH,19.6,294.3,23.8,83
Rural,Thuja occidentalis,WC,1,15,EH,17.5,311,10.3,
Rural,Thuja occidentalis,WC,2,1,WC,2.3,,,17.4
Rural,Thuja occidentalis,WC,2,2,WC,8.3,41.2,1.9,
Rural,Thuja occidentalis,WC,2,3,WC,6,52,4.1,
Rural,Thuja occidentalis,WC,2,4,WC,4.6,305.3,4.6,28.2
Rural,Thuja occidentalis,WC,2,5,WC,6.3,317.9,6.8,
Rural,Thuja occidentalis,WC,2,6,WC,6.8,12,21.9,36.6
Rural,Thuja occidentalis,WC,2,7,WC,6.5,14.9,23,
Rural,Thuja occidentalis,WC,2,8,WC,5.5,26.5,23.9,29
Rural,Thuja occidentalis,WC,2,9,WC,7.2,34.7,12.4,
Rural,Thuja occidentalis,WC,2,10,WC,5.1,56,11.1,30.2
Rural,Thuja occidentalis,WC,2,11,WC,6.8,62.7,11.5,
Rural,Thuja occidentalis,WC,2,12,WC,5,59.2,20.5,
Rural,Thuja occidentalis,WC,2,13,WC,8.9,75.4,18.7,
Rural,Thuja occidentalis,WC,2,14,WC,7.8,106.7,11.5,39.6
Rural,Thuja occidentalis,WC,2,15,WC,6.7,131.3,9,
Rural,Thuja occidentalis,WC,2,16,WC,5.2,151.9,7.8,
Rural,Thuja occidentalis,WC,2,17,WC,10.8,177,7.9,
Rural,Thuja occidentalis,WC,2,18,WC,8.9,179.3,10.4,36.1
Rural,Thuja occidentalis,WC,2,19,WC,9.6,159.6,13.4,
Rural,Thuja occidentalis,WC,2,20,WC,9.5,155.8,21.9,
Rural,Thuja occidentalis,WC,2,21,WC,7.6,180.2,20,40
Rural,Thuja occidentalis,WC,2,22,WC,8.1,194.9,22.2,
Rural,Thuja occidentalis,WC,2,23,WC,6.8,194.6,23.2,34.2
Rural,Thuja occidentalis,WC,2,24,WC,7.5,197.3,21.7,
Rural,Thuja occidentalis,WC,2,25,WC,4.8,228.5,16.6,
Rural,Thuja occidentalis,WC,2,26,WC,5.3,247.5,15.8,
Rural,Thuja occidentalis,WC,2,27,WC,6.1,247.3,17.8,
Rural,Thuja occidentalis,WC,2,28,WC,7.8,252.7,18.7,44.9
Rural,Thuja occidentalis,WC,2,29,WC,4.1,340.4,21.1,
Rural,Thuja occidentalis,WC,2,30,WC,8.3,343.3,22.6,
Rural,Thuja occidentalis,WC,2,31,WC,6.8,332.4,23,
Rural,Thuja occidentalis,WC,2,32,WC,7.5,332.4,24,44.6
Rural,Thuja occidentalis,WC,3,1,WC,4.6,,,23.8
Tech Smith,Thuja occidentalis,WC,3,1,WC,12.1,,,34.9
Rural,Thuja occidentalis,WC,3,2,EH,4.5,358.6,22.3,23.5
Tech Smith,Thuja occidentalis,WC,3,2,BA,62,18.1,24.32,107.6
Rural,Thuja occidentalis,WC,3,3,EH,6.2,22.3,21.7,
Tech Smith,Thuja occidentalis,WC,3,3,WC,31.5,12.1,6,320.7
Rural,Thuja occidentalis,WC,3,4,EH,4.8,23,17.4,
Rural,Thuja occidentalis,WC,3,5,WC,6,100.7,23.1,47.1
Rural,Thuja occidentalis,WC,3,6,EH,12.9,110.4,22.4,
Rural,Thuja occidentalis,WC,3,7,WC,4.3,122.8,20.9,
Rural,Thuja occidentalis,WC,3,8,WC,7.7,161.6,16.5,36
Rural,Thuja occidentalis,WC,3,9,RM,17.3,243.4,24,
Rural,Thuja occidentalis,WC,3,10,BS,7.2,253.3,23.6,
Rural,Thuja occidentalis,WC,3,11,EH,8.4,307.6,18.2,
Rural,Thuja occidentalis,WC,3,12,EH,13.6,316.6,20.8,
Rural,Thuja occidentalis,WC,3,13,EH,11.8,313.4,22.8,73.5
Rural,Thuja occidentalis,WC,3,14,EH,9.9,316.9,22.4,
Rural,Thuja occidentalis,WC,3,15,EH,4.2,322.3,19.9,
Rural,Thuja occidentalis,WC,3,16,WC,7.8,309.6,5.4,23.7
Rural,Thuja occidentalis,WC,4,1,WC,7.8,,,48.4
Rural,Thuja occidentalis,WC,4,2,RM,8.2,13.7,17.6,58.5
Rural,Thuja occidentalis,WC,4,3,RM,17.2,51.1,18.1,
Rural,Thuja occidentalis,WC,4,4,BT,15.6,81.5,10.2,61.3
Rural,Thuja occidentalis,WC,4,5,PB,9.3,100.9,18.9,51.8
Rural,Thuja occidentalis,WC,4,6,RM,9.9,114.8,19.2,
Rural,Thuja occidentalis,WC,4,7,EH,18.5,201.4,12.7,
Rural,Thuja occidentalis,WC,4,8,PB,10.1,301.3,14.5,52.3
Rural,Thuja occidentalis,WC,4,9,RM,9.3,328.7,19.9,
Rural,Thuja occidentalis,WC,5,1,WC,10.1,,,46
Rural,Thuja occidentalis,WC,5,2,WC,9.6,354,14.7,
Rural,Thuja occidentalis,WC,5,3,BT,12.4,6,18.1,
Rural,Thuja occidentalis,WC,5,4,WC,12.2,58,23.1,
Rural,Thuja occidentalis,WC,5,5,WC,9.1,78,9.3,
Rural,Thuja occidentalis,WC,5,6,EH,8.8,94,2,
Rural,Thuja occidentalis,WC,5,7,EH,5.3,106,3.2,
Rural,Thuja occidentalis,WC,5,8,WC,4.8,106,16.2,
Rural,Thuja occidentalis,WC,5,9,WC,4.7,130,16.7,
Rural,Thuja occidentalis,WC,5,10,PB,6.2,112,20.5,
Rural,Thuja occidentalis,WC,5,11,WC,6.3,148,9.6,
Rural,Thuja occidentalis,WC,5,12,BT,4.4,162,19.3,
Rural,Thuja occidentalis,WC,5,13,EH,11.9,204,15,
Rural,Thuja occidentalis,WC,5,14,EH,15.5,232,20,
Rural,Thuja occidentalis,WC,5,15,EH,6.8,244,9.8,
Rural,Thuja occidentalis,WC,5,16,RM,16.9,272,13.8,
Rural,Thuja occidentalis,WC,6,1,WC,13.6,,,42
Rural,Thuja occidentalis,WC,6,2,WC,5.6,8.1,16.1,
Rural,Thuja occidentalis,WC,6,3,WC,6.9,12,21.5,
Rural,Thuja occidentalis,WC,6,4,WC,7.5,14,7.6,
Rural,Thuja occidentalis,WC,6,5,WC,6.3,48,18.9,
Rural,Thuja occidentalis,WC,6,6,WC,4.5,77,22,
Rural,Thuja occidentalis,WC,6,7,EH,13.6,77,17.9,
Rural,Thuja occidentalis,WC,6,8,WC,5.1,80,22.9,
Rural,Thuja occidentalis,WC,6,9,WC,7.5,118,6.7,
Rural,Thuja occidentalis,WC,6,10,WC,6.3,186,18.6,
Rural,Thuja occidentalis,WC,6,11,RM,10.1,200,18.8,
Rural,Thuja occidentalis,WC,6,12,WC,9,238,7.1,
Rural,Thuja occidentalis,WC,6,13,EH,4.2,238,16,
Rural,Thuja occidentalis,WC,6,14,PB,11,248,13.2,
Rural,Thuja occidentalis,WC,6,15,WC,4.1,250,7.4,
Rural,Thuja occidentalis,WC,6,16,EH,22.2,302,21.6,
Rural,Thuja occidentalis,WC,7,1,WC,11.9,,,42.7
Rural,Thuja occidentalis,WC,7,2,SM,9.4,5.6,15.7,61.6
Rural,Thuja occidentalis,WC,7,3,PB,11,42.8,16.4,
Rural,Thuja occidentalis,WC,7,4,PB,8.3,47.8,11.9,
Rural,Thuja occidentalis,WC,7,5,WC,11.9,56.3,7.2,40.3
Rural,Thuja occidentalis,WC,7,6,YB,5.5,62.8,12.7,
Rural,Thuja occidentalis,WC,7,7,TA,12.4,157.7,7,
Rural,Thuja occidentalis,WC,7,8,YP,10.8,230,22.2,53.7
Rural,Thuja occidentalis,WC,7,9,BF,11.1,232,16.8,
Rural,Thuja occidentalis,WC,7,10,PB,7.7,269.9,23,
Rural,Thuja occidentalis,WC,7,11,BF,6.3,274.8,14.4,34.9
Rural,Thuja occidentalis,WC,7,12,PB,7.3,277.3,15.8,
Rural,Thuja occidentalis,WC,7,13,RM,8.1,279.9,15.7,
Rural,Thuja occidentalis,WC,7,14,RM,11.8,331.9,5.1,54.2
Rural,Thuja occidentalis,WC,7,15,WC,7.4,337.1,14.2,
Rural,Thuja occidentalis,WC,8,1,WC,19.8,,,55.4
Rural,Thuja occidentalis,WC,8,2,WC,14.5,9.2,18.3,44.6
Rural,Thuja occidentalis,WC,8,3,RM,9.2,148,24,
Rural,Thuja occidentalis,WC,8,4,BT,16.7,156.7,24,
Rural,Thuja occidentalis,WC,8,5,BF,5.5,188,11.1,37.6
Rural,Thuja occidentalis,WC,8,6,BC,8.9,189,13.2,
Rural,Thuja occidentalis,WC,8,7,BC,7.5,200.1,19.5,
Rural,Thuja occidentalis,WC,8,8,BF,16.4,230.1,18.3,
Rural,Thuja occidentalis,WC,8,9,BC,9.8,248.8,23.5,38
Rural,Thuja occidentalis,WC,8,10,RM,15.8,280.5,18.3,
Rural,Thuja occidentalis,WC,9,1,WC,18.6,,,46
Rural,Thuja occidentalis,WC,9,2,BF,11.4,347.8,24.6,51.7
Rural,Thuja occidentalis,WC,9,3,RM,16.7,121.2,19.6,
Rural,Thuja occidentalis,WC,9,4,BC,9,138.8,21.2,
Rural,Thuja occidentalis,WC,9,5,RM,8,180.6,20.2,30.4
Rural,Thuja occidentalis,WC,9,6,RM,11,181.6,20.6,
Rural,Thuja occidentalis,WC,9,7,WC,16.1,190.7,3.2,44.2
Rural,Thuja occidentalis,WC,9,8,PB,9.5,186.6,17.9,55.5
Rural,Thuja occidentalis,WC,9,9,RM,10.1,190.2,12.7,
Rural,Thuja occidentalis,WC,9,10,RM,2.7,196.1,13.5,
Rural,Thuja occidentalis,WC,9,11,TA,11,335.5,22,46.3
Rural,Thuja occidentalis,WC,10,1,WC,16.2,,,45.8
Rural,Thuja occidentalis,WC,10,2,TA,11,321.1,24.4,46.3
Rural,Thuja occidentalis,WC,10,3,RM,16.7,129.2,18.9,
Rural,Thuja occidentalis,WC,10,4,BC,9,138.8,22.3,
Rural,Thuja occidentalis,WC,10,5,RM,8,148.1,20.2,30.4
Rural,Thuja occidentalis,WC,10,6,RM,11,186.6,18.2,
Rural,Thuja occidentalis,WC,10,7,WC,18.6,1.4,2.5,46
Rural,Thuja occidentalis,WC,10,8,PB,9.5,190.5,14.4,55.5
Rural,Thuja occidentalis,WC,10,9,RM,10.1,194.6,10,
Rural,Thuja occidentalis,WC,10,10,RM,2.7,199.8,11.1,
Rural,Quercus alba,WO,1,1,TP,8,,,63.5
Rural,Quercus alba,WO,1,2,RM,12.5,290,17.5,
Rural,Quercus alba,WO,1,3,BO,20.9,273,22.9,
Rural,Quercus alba,WO,1,4,SF,10,200,13.5,
Rural,Quercus alba,WO,1,5,WO,11.3,102,10,
Rural,Quercus alba,WO,1,6,RM,18.8,97,7.5,
Rural,Quercus alba,WO,1,7,RM,20,95,5,
Rural,Quercus alba,WO,1,8,RM,21.8,91,4,
Rural,Quercus alba,WO,2,1,WO,4,,,31.1
Rural,Quercus alba,WO,2,2,SF,4.9,354,21.7,
Rural,Quercus alba,WO,2,3,SF,4.5,20,21,
Rural,Quercus alba,WO,2,4,SF,7.3,145,15.4,
Rural,Quercus alba,WO,2,5,SF,8.5,150,13.1,
Rural,Quercus alba,WO,2,6,SF,20.6,159,21.2,71.1
Rural,Quercus alba,WO,2,7,SF,7.6,176,15.4,34
Rural,Quercus alba,WO,2,8,SF,10,192,11.2,
Rural,Quercus alba,WO,2,9,SF,8,192,18.2,
Rural,Quercus alba,WO,2,10,SF,11.9,255,9.9,60
Rural,Quercus alba,WO,2,11,SF,5.8,255,9.9,
Rural,Quercus alba,WO,2,12,HZ,21.9,354,18.6,55.2
Rural,Quercus alba,WO,3,1,WO,27.2,,,109.5
Rural,Quercus alba,WO,3,2,RM,4.8,25.1,23.9,39.6
Rural,Quercus alba,WO,3,3,RM,5.7,35.6,16.3,
Rural,Quercus alba,WO,3,4,WO,19.3,66.6,23.7,113.3
Rural,Quercus alba,WO,3,5,RM,4.3,94.7,14.6,
Rural,Quercus alba,WO,3,6,RM,4.6,141,14.4,50.8
Rural,Quercus alba,WO,3,7,EZ,4,153,19.5,
Rural,Quercus alba,WO,3,8,SM,4.6,201.2,11.1,
Rural,Quercus alba,WO,4,1,TP,23.3,,,81.5
Rural,Quercus alba,WO,4,2,BC,9.7,162.6,16.5,
Rural,Quercus alba,WO,4,3,BC,5.2,95.4,13.3,
Rural,Quercus alba,WO,4,4,EZ,5.3,18.3,20.3,
Rural,Quercus alba,WO,5,1,WO,16.4,,,77.9
Rural,Quercus alba,WO,5,2,BC,12.6,10,23.1,75.5
Rural,Quercus alba,WO,5,3,RM,8.3,104,7.8,
Rural,Quercus alba,WO,5,4,BC,4.8,155,15.1,41
Rural,Quercus alba,WO,5,5,BC,4,196,19.4,
Rural,Quercus alba,WO,5,6,BC,5,174,9,
Rural,Quercus alba,WO,5,7,BC,4.1,228,16.3,
Rural,Quercus alba,WO,5,8,RO,17.2,277,18.3,75.9
Rural,Quercus alba,WO,5,9,BC,5.4,284,13.7,
Rural,Quercus alba,WO,6,1,WO,17.9,,,69
Rural,Quercus alba,WO,6,2,BC,4.2,355.2,17,38.9
Rural,Quercus alba,WO,6,3,RM,5.9,92.2,15.9,
Rural,Quercus alba,WO,6,4,BO,14.2,125.2,20.3,
Rural,Quercus alba,WO,6,5,BC,4.3,147.9,16.5,34.1
Rural,Quercus alba,WO,6,6,RM,8.5,209,19.3,66.2
Rural,Quercus alba,WO,6,7,BC,12.6,292.2,15.4,91.3
Rural,Quercus alba,WO,6,8,BC,6.6,315.4,21.4,
Rural,Quercus alba,WO,6,9,BC,16.6,319.4,21.5,
Rural,Quercus alba,WO,6,10,BC,6.5,334.4,22.7,
Rural,Quercus alba,WO,7,1,WO,13.5,,,68.2
Rural,Quercus alba,WO,7,2,HZ,4,154.7,5.2,
Rural,Quercus alba,WO,7,3,BC,6.2,198.9,21,59.1
Rural,Quercus alba,WO,7,4,HZ,7.2,288.3,19.2,
Rural,Quercus alba,WO,7,5,BO,5.8,41.9,11.7,62.6
Rural,Quercus alba,WO,7,6,RM,4.3,58.5,12.4,
Rural,Quercus alba,WO,7,7,RO,9.6,87.7,18.3,
Rural,Quercus alba,WO,7,8,RO,10.3,122.4,14.7,82.6
Rural,Quercus alba,WO,8,1,WO,5.9,,,64.2
Rural,Quercus alba,WO,8,2,BC,10.6,68.2,20.2,
Rural,Quercus alba,WO,8,3,RM,6.2,62.7,22.2,58.5
Rural,Quercus alba,WO,8,4,HZ,4.5,37.8,19.7,
Rural,Quercus alba,WO,8,5,BC,17.5,40.7,21.3,
Rural,Quercus alba,WO,8,6,HZ,5.6,18.3,23,
Rural,Quercus alba,WO,8,7,HZ,8.5,14.4,15.3,
Rural,Quercus alba,WO,8,8,HZ,5.7,351.6,18.1,68.7
Rural,Quercus alba,WO,8,9,BC,7.8,286.4,21.3,56.6
Rural,Quercus alba,WO,8,10,SF,4.5,166,15.7,22.8
Rural,Quercus alba,WO,8,11,RO,24.1,139.2,14.6,65.3
Rural,Quercus alba,WO,8,12,HZ,4.6,111.8,12.4,
Rural,Quercus alba,WO,9,1,WO,19.3,,,114.1
Rural,Quercus alba,WO,9,2,BO,21,355.2,15,99.3
Rural,Quercus alba,WO,9,3,EZ,4.4,71.2,15.6,
Rural,Quercus alba,WO,9,4,BC,4.7,126.1,7.2,24.6
Rural,Quercus alba,WO,9,5,BC,5.2,287.3,11,
Rural,Quercus alba,WO,10,1,WO,21.3,,,97.2
Rural,Quercus alba,WO,10,2,SF,5.7,20.1,15.7,40.6
Rural,Quercus alba,WO,10,3,SF,9.8,34.6,20.2,
Rural,Quercus alba,WO,10,4,BC,4.9,87.1,16.3,
Rural,Quercus alba,WO,10,5,BO,17.8,98.2,14.3,46.4
Rural,Quercus alba,WO,10,6,SF,7,161.7,13.8,
Rural,Quercus alba,WO,10,7,BO,27,217.5,17.2,102.7
Rural,Quercus alba,WO,10,8,BO,15.1,243,12.7,
Rural,Quercus alba,WO,10,9,SF,8.2,250.7,21.8,
Rural,Quercus alba,WO,11,1,WO,11,,,44.2
Rural,Quercus alba,WO,11,2,BC,4.7,21,22.6,35.3
Rural,Quercus alba,WO,11,3,HZ,6.8,315.6,22.8,
Rural,Quercus alba,WO,11,4,SF,14.6,124.8,14.6,76.2
Rural,Quercus alba,WO,11,5,SF,11.5,114.7,22.3,
Rural,Quercus alba,WO,11,6,SF,6.7,140.3,23.2,
Rural,Quercus alba,WO,12,1,WO,11.3,,,67.8
Rural,Quercus alba,WO,12,2,RM,4,44,12,
Rural,Quercus alba,WO,12,3,RM,7.6,45,9,62.7
Rural,Quercus alba,WO,12,4,RM,5,58,10.1,
Rural,Quercus alba,WO,12,5,WO,5.7,168,19.4,
Rural,Quercus alba,WO,12,6,SF,10,195,18.3,56.3
Rural,Quercus alba,WO,13,1,WO,2.5,,,27.1
Rural,Quercus alba,WO,13,2,RM,4.5,4,11.1,34.8
Rural,Quercus alba,WO,13,3,RM,8.3,18,16.2,
Rural,Quercus alba,WO,13,4,HZ,4.7,123,20,
Rural,Quercus alba,WO,13,5,BC,15.6,135,23,63.3
Rural,Quercus alba,WO,13,6,RC,10.5,154,16,
Rural,Quercus alba,WO,13,7,RC,8.6,157,15.5,
Rural,Quercus alba,WO,13,8,HZ,13.8,239,5.3,
Rural,Quercus alba,WO,13,9,BC,11.3,259,7.2,
Rural,Quercus alba,WO,13,10,BO,16.3,277,20.5,67.7
Rural,Quercus alba,WO,13,11,SF,9.3,313,20.7,
Rural,Quercus alba,WO,14,1,WO,31.5,,,56.5
Rural,Quercus alba,WO,14,2,WO,23.9,47.6,13.9,72.3
Rural,Quercus alba,WO,14,3,BC,6.8,103,18.7,
Rural,Quercus alba,WO,14,4,BC,10.3,210.4,17.2,
Rural,Quercus alba,WO,14,5,SF,8.8,357,20.5,42.5
Rural,Quercus alba,WO,15,1,WO,29.2,,,114.1
Rural,Quercus alba,WO,15,2,WP,9.8,344.1,17.3,61.2
Rural,Quercus alba,WO,15,3,WP,9.9,47.9,18.6,
Rural,Quercus alba,WO,15,4,RM,5.8,64.4,17.8,
Rural,Quercus alba,WO,15,5,WP,9.8,65.8,21.9,68.9
Rural,Quercus alba,WO,15,6,RM,7.5,132.9,11.6,
Rural,Quercus alba,WO,15,7,WP,7.1,162.8,10,
Rural,Quercus alba,WO,15,8,RM,8.3,168.3,22.7,76.4
Rural,Quercus alba,WO,15,9,WP,9.1,244.3,12.3,
Rural,Quercus alba,WO,15,10,WP,9.6,250.4,20.6,
Rural,Quercus alba,WO,15,11,WO,18.9,288.7,14.2,84.3
Rural,Quercus alba,WO,15,12,WP,4.8,302.1,18.4,
Rural,Quercus alba,WO,15,13,WP,7,326,12.1,
Rural,Quercus alba,WO,16,1,WO,25.4,,,93.1
Rural,Quercus alba,WO,16,2,BC,8.1,64.9,20.2,52.9
Rural,Pinus strobus,WP,1,1,WP,2.6,,,17.6
Rural,Pinus strobus,WP,1,2,WP,11.1,311.5,21.2,70.9
Rural,Pinus strobus,WP,1,3,WP,10,88.3,23.5,
Rural,Pinus strobus,WP,1,4,BO,19.1,154.2,18.2,92.8
Rural,Pinus strobus,WP,1,5,WO,5.7,164.4,6.8,
Rural,Pinus strobus,WP,1,6,WO,6.8,186.4,15.7,
Rural,Pinus strobus,WP,1,7,WO,5.6,192,15.3,44.6
Rural,Pinus strobus,WP,2,1,WP,4.5,,,34.5
Rural,Pinus strobus,WP,2,2,WO,5.5,332.4,19.4,22.2
Rural,Pinus strobus,WP,2,3,WP,10.3,33.1,16,
Rural,Pinus strobus,WP,2,4,BO,19.8,59.7,15.3,
Rural,Pinus strobus,WP,2,5,WP,8.2,95.1,10.6,
Rural,Pinus strobus,WP,2,6,BO,14.4,111.1,11.5,
Rural,Pinus strobus,WP,2,7,BO,12.8,121.5,20.6,
Rural,Pinus strobus,WP,2,8,WP,14,187.2,17,69
Rural,Pinus strobus,WP,2,9,WO,5.2,272.1,11.8,
Rural,Pinus strobus,WP,2,10,WO,9.5,302.7,22.7,
Rural,Pinus strobus,WP,3,1,WP,16.5,,,74.7
Rural,Pinus strobus,WP,3,2,WP,12.1,321.5,16.2,60.2
Rural,Pinus strobus,WP,3,3,WP,9,218.5,21.2,
Rural,Pinus strobus,WP,3,4,WO,8.9,275.9,11.4,53.6
Rural,Pinus strobus,WP,4,1,WP,20.3,,,62.4
Rural,Pinus strobus,WP,4,2,WO,6.2,319.2,10.3,31
Rural,Pinus strobus,WP,4,3,WP,17.5,275.4,17.9,60.3
Rural,Pinus strobus,WP,5,1,WP,9.7,,,65.2
Rural,Pinus strobus,WP,5,2,WP,7,4.9,18.8,48
Rural,Pinus strobus,WP,5,3,BO,15.1,18,11.6,
Rural,Pinus strobus,WP,5,4,WP,8.5,49.1,21.3,58.5
Rural,Pinus strobus,WP,5,5,WP,5.5,51.4,22.1,
Rural,Pinus strobus,WP,5,6,BO,16.5,66.1,12.3,92
