loc,scientific.name,spp,tree,easting,northing,lat,lon,dbh.in,dwtot.lb
LC,Tsuga canadensis,EH,2,643882,4907004,44.30205100225412,-85.19621230522804,4.9,57.27910374
LC,Tsuga canadensis,EH,3,643890,4906996,44.301977430277574,-85.19611426700841,2.2,9.000624151
LC,Tsuga canadensis,EH,4,643779,4906994,44.301981395982466,-85.19750569201506,11.6,668.5925221
LC,Tsuga canadensis,EH,5,643899,4906875,44.300886822663706,-85.19603484570665,7.2,201.6368031
LC,Tsuga canadensis,EH,6,643859,4907016,44.30216353703198,-85.19649719777227,10.6,445.3222221
LC,Tsuga canadensis,EH,7,643872,4907012,44.30212496998431,-85.19633540453967,6.8,193.9149982
LC,Tsuga canadensis,EH,8,643777,4906999,44.3020267844009,-85.1975293757545,24.4,3570.955962
LC,Tsuga canadensis,EH,9,643895,4906884,44.300968601506526,-85.19608248573165,29.9,4722.926575
LC,Tsuga canadensis,EH,10,643913,4906920,44.30128898661934,-85.1958470188034,25.9,4302.284331
LC,Tsuga canadensis,EH,11,643301,4907568,44.307240974389565,-85.2033376531304,32.3,7976.223094
LC,Tsuga canadensis,EH,12,643286,4907579,44.30734291621802,-85.20352260652416,28.9,5481.154953
LC,Tsuga canadensis,EH,13,643877,4907011,44.302114981824346,-85.19627302802839,14.6,1073.449704
LC,Tsuga canadensis,EH,14,643803,4906983,44.30187766444966,-85.19720799249649,21.1,3849.47962
LC,Tsuga canadensis,EH,15,643800,4907018,44.302193207778735,-85.1972359426278,17.7,2031.914672
LC,Tsuga canadensis,EH,16,643843,4907014,44.302148706099636,-85.19669823580014,15.5,1785.527694
